Table with row headers in column A and column headers in rows 5 through 7.,,,,,,,,,,,,,,,,,
"Table 1.  Enrollment Status of the Population 3 Years and Over, by Sex, Age, Race, Hispanic Origin, Foreign Born, and Foreign-Born Parentage:  October 2014",,,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population),,,,,,,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,,,,,,
All Races,Population,Enrolled in school,,,,,,,,,,Not enrolled in school,,,,,
,,Total,,Nursery or kindergarten,,Elementary,,High school,,College undergraduate or graduate,,Total,,High school graduate,,Not high school graduate,
.30 to 34 years old,"10,322",546,5.3,-,-,27,0.3,11,0.1,509,4.9,"9,776",94.7,"8,769",85.0,"1,007",9.8
.35 to 44 years old,"19,394",687,3.5,-,-,7,-,36,0.2,644,3.3,"18,707",96.5,"16,382",84.5,"2,325",12.0
.45 to 54 years old,"20,882",318,1.5,-,-,3,-,36,0.2,278,1.3,"20,565",98.5,"18,126",86.8,"2,439",11.7
.55 years old and over,"39,427",135,0.3,-,-,3,-,18,-,114,0.3,"39,292",99.7,"34,193",86.7,"5,099",12.9
FEMALE,,,,,,,,,,,,,,,,,
.Total,"154,685","39,005",25.2,"4,277",2.8,"15,964",10.3,"8,218",5.3,"10,546",6.8,"115,680",74.8,"100,293",64.8,"15,387",9.9
.3 and 4 years old,"3,993","2,217",55.5,"2,217",55.5,-,-,-,-,-,-,"1,776",44.5,-,-,"1,776",44.5
.5 and 6 years old,"3,993","3,707",92.8,"2,040",51.1,"1,667",41.7,-,-,-,-,287,7.2,-,-,287,7.2
.7 to 9 years old,"6,027","5,900",97.9,20,0.3,"5,880",97.6,-,-,-,-,127,2.1,-,-,127,2.1
.10 to 13 years old,"8,036","7,882",98.1,-,-,"7,759",96.6,123,1.5,-,-,154,1.9,-,-,154,1.9
.14 and 15 years old,"4,090","4,015",98.2,-,-,571,14.0,"3,435",84.0,9,0.2,76,1.8,-,-,76,1.8
.16 and 17 years old,"4,096","3,842",93.8,-,-,39,1.0,"3,703",90.4,100,2.4,254,6.2,74,1.8,180,4.4
.18 and 19 years old,"4,079","2,940",72.1,-,-,16,0.4,667,16.4,"2,257",55.3,"1,138",27.9,873,21.4,265,6.5
.20 and 21 years old,"4,062","2,189",53.9,-,-,-,-,60,1.5,"2,128",52.4,"1,873",46.1,"1,635",40.2,238,5.9
.22 to 24 years old,"6,929","2,146",31.0,-,-,6,0.1,70,1.0,"2,070",29.9,"4,783",69.0,"4,328",62.5,455,6.6
.25 to 29 years old,"10,733","1,500",14.0,-,-,5,-,56,0.5,"1,439",13.4,"9,233",86.0,"8,436",78.6,797,7.4
.30 to 34 years old,"10,626",790,7.4,-,-,11,0.1,21,0.2,758,7.1,"9,836",92.6,"8,957",84.3,878,8.3
.35 to 44 years old,"20,179","1,071",5.3,-,-,-,-,38,0.2,"1,034",5.1,"19,108",94.7,"17,184",85.2,"1,924",9.5
.45 to 54 years old,"21,848",619,2.8,-,-,7,-,46,0.2,566,2.6,"21,229",97.2,"19,095",87.4,"2,134",9.8
.55 years old and over,"45,993",188,0.4,-,-,3,-,-,-,184,0.4,"45,806",99.6,"39,710",86.3,"6,096",13.3
Footnote:,,,,,,,,,,,,,,,,,
- Represents zero or rounds to zero.,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, October 2014.",,,,,,,,,,,,,,,,,
Internet Release date: XX,,,,,,,,,,,,,,,,,
